job_ID              start_time  end_time job_d mp rd  r_bytes   w_bytes   mp_t    rd_t  ?  cpu_t  mem_amnt  fs kt s sp rn
job_1377070969043_0009 07:54:22 08:04:22 600.0 41 10 5368715100 5368709100 1502080 1900052 1 1031810 13030682624 0 1 cp t 1
job_1377070969043_0008 07:54:22 08:04:28 606.0 44 10 5368715100 5368709100 3338942 3373422 1 1104800 12939108352 0 4 cp t 1
job_1377070969043_0010 07:54:22 08:05:10 648.0 44 10 5368715100 5368709100 3169092 1616085 1 1069050 12814176256 0 4 cp t 1
job_1377070969043_0007 07:54:22 08:01:05 403.0 41 12 5368715100 5368709100 1838818 1502123 1 930860 12927135744 0 1 cp t 1
job_1377070969043_0006 07:54:22 08:01:22 420.0 46 10 5368715100 5368709100 2286741 2057868 1 985500 12895395840 0 6 cp t 1
job_1377074478576_0007 08:53:11 08:58:04 293.0 40 13 5368715100 5368709100 2038831 1020240 1 969480 13000687616 0 0 cp t 2
job_1377074478576_0008 08:53:11 09:02:38 567.0 43 10 5368715100 5368709100 3144293 2412804 1 1071130 12744847360 0 3 cp t 2
job_1377074478576_0010 08:53:12 09:04:45 693.0 44 10 5368715100 5368709100 2585925 1593862 1 1097840 12852514816 0 4 cp t 2
job_1377074478576_0006 08:53:11 09:00:02 411.0 45 10 5368715100 5368709100 2637903 2605512 1 1052470 12878913536 0 5 cp t 2
job_1377074478576_0009 08:53:11 09:04:31 680.0 45 10 5368715100 5368709100 3416626 2500900 1 1104490 12856131584 0 5 cp t 2
job_1377078093147_0007 09:53:26 09:58:16 290.0 41 10 5368715100 5368709100 1993070 1362549 1 971050 12909039616 0 1 cp t 3
job_1377078093147_0010 09:53:27 10:03:23 596.0 44 10 5368715100 5368709100 2946553 1255303 1 1017020 12920274944 0 4 cp t 3
job_1377078093147_0008 09:53:27 10:01:44 497.0 42 10 5368715100 5368709100 2384144 2133525 1 1045340 12911804416 0 2 cp t 3
job_1377078093147_0009 09:53:27 10:02:41 554.0 44 10 5368715100 5368709100 2958805 1730532 1 1038410 12859686912 0 4 cp t 3
job_1377078093147_0006 09:53:26 09:58:25 299.0 45 10 5368715100 5368709100 2316619 2102595 1 972420 12982939648 0 5 cp t 3
job_1377076314200_0009 09:24:01 09:33:27 566.0 46 10 5368715100 5368709100 3052583 2206161 1 1080300 12986875904 0 6 cp t 4
job_1377076314200_0007 09:24:00 09:29:56 356.0 45 10 5368715100 5368709100 2895847 1515682 1 1002080 12842115072 0 3 cp t 4
job_1377076314200_0006 09:24:00 09:27:05 185.0 44 10 5368715100 5368709100 2125117 966367 1 982480 13003681792 0 4 cp t 4
job_1377076314200_0010 09:24:00 09:34:25 625.0 45 10 5368715100 5368709100 2759237 1607475 1 1064610 12900380672 0 5 cp t 4
job_1377076314200_0008 09:24:00 09:33:32 572.0 43 10 5368715100 5368709100 2664219 2411330 1 1093240 12859699200 0 3 cp t 4
job_1377072736215_0008 08:23:45 08:33:20 575.0 44 10 5368715100 5368709100 2828727 2359052 1 1030290 13096206336 0 4 cp t 5
job_1377072736215_0010 08:23:45 08:34:14 629.0 43 10 5368715100 5368709100 3050454 1513792 1 1067160 12942000128 0 3 cp t 5
job_1377072736215_0007 08:23:45 08:28:57 312.0 41 10 5368715100 5368709100 1921792 1492999 1 944490 12922990592 0 1 cp t 5
job_1377072736215_0009 08:23:45 08:32:54 549.0 45 10 5368715100 5368709100 2373758 1766999 1 992540 13071859712 0 4 cp t 5
job_1377072736215_0006 08:23:44 08:28:52 308.0 44 10 5368715100 5368709100 2306644 1868834 1 994530 12877717504 0 4 cp t 5
job_1377085166236_0010 11:52:32 12:03:08 636.0 40 10 5368715100 5368709100 2711373 1433796 1 1068900 12955344896 0 0 cp f 1
job_1377085166236_0008 11:52:31 12:01:16 525.0 40 10 5368715100 5368709100 1924972 2181634 1 1013610 13019561984 0 0 cp f 1
job_1377085166236_0009 11:52:31 12:02:39 608.0 40 10 5368715100 5368709100 3063573 2304391 1 1093410 12951425024 0 0 cp f 1
job_1377085166236_0007 11:52:31 12:00:05 454.0 40 10 5368715100 5368709100 3309491 2519164 1 1026980 12806451200 0 0 cp f 1
job_1377085166236_0006 11:52:30 11:56:21 231.0 40 10 5368715100 5368709100 1596656 1134301 1 908610 12892041216 0 0 cp f 1
job_1377083307120_0008 11:21:31 11:30:46 555.0 40 10 5368715100 5368709100 2594360 2674163 1 1063660 12882755584 0 0 cp f 2
job_1377083307120_0009 11:21:31 11:30:48 557.0 40 10 5368715100 5368709100 2232257 1921406 1 1025180 12914692096 0 0 cp f 2
job_1377083307120_0006 11:21:31 11:27:51 380.0 40 10 5368715100 5368709100 2185632 2217544 1 975100 12910104576 0 0 cp f 2
job_1377083307120_0010 11:21:31 11:32:16 645.0 40 10 5368715100 5368709100 3072833 1716035 1 1056960 12987604992 0 0 cp f 2
job_1377083307120_0007 11:21:31 11:26:06 275.0 40 10 5368715100 5368709100 1770550 1437720 1 997730 12922941440 0 0 cp f 2
job_1377079841838_0007 10:22:20 10:31:54 574.0 40 10 5368715100 5368709100 2362117 2769068 1 1099490 12855971840 0 0 cp f 3
job_1377079841838_0009 10:22:21 10:32:00 579.0 40 10 5368715100 5368709100 3422331 1687304 1 1112950 12904054784 0 0 cp f 3
job_1377079841838_0010 10:22:21 10:32:54 633.0 40 10 5368715100 5368709100 2735948 1322108 1 1084510 12885450752 0 0 cp f 3
job_1377079841838_0008 10:22:21 10:32:14 593.0 40 10 5368715100 5368709100 2307981 1803809 1 1039390 13014224896 0 0 cp f 3
job_1377079841838_0006 10:22:20 10:27:12 292.0 40 10 5368715100 5368709100 1580435 1946042 1 982860 13167366144 0 0 cp f 3
job_1377087019634_0010 12:22:57 12:33:56 659.0 40 10 5368715100 5368709100 2118333 1559834 1 1022720 13030576128 0 0 cp f 4
job_1377087019634_0008 12:22:56 12:32:55 599.0 40 10 5368715100 5368709100 2268957 2308016 1 1068930 12931080192 0 0 cp f 4
job_1377087019634_0006 12:22:56 12:29:44 408.0 40 10 5368715100 5368709100 2747034 2044632 1 1037500 12795789312 0 0 cp f 4
job_1377087019634_0009 12:22:57 12:34:13 676.0 40 10 5368715100 5368709100 2931181 2381103 1 1122250 12798021632 0 0 cp f 4
job_1377087019634_0007 12:22:56 12:30:57 481.0 40 10 5368715100 5368709100 2171925 2114790 1 1012870 13050130432 0 0 cp f 4
job_1377081600700_0009 10:51:24 11:00:46 562.0 40 10 5368715100 5368709100 2522068 1534391 1 1013690 12985434112 0 0 cp f 5
job_1377081600700_0006 10:51:23 10:55:52 269.0 40 10 5368715100 5368709100 2508063 1713488 1 962840 12914335744 0 0 cp f 5
job_1377081600700_0007 10:51:24 10:58:48 444.0 40 10 5368715100 5368709100 2201284 1816614 1 991670 12862644224 0 0 cp f 5
job_1377081600700_0008 10:51:23 11:00:32 549.0 40 10 5368715100 5368709100 2307155 1754289 1 1015330 12943220736 0 0 cp f 5
job_1377081600700_0010 10:51:24 11:01:21 597.0 40 10 5368715100 5368709100 3088840 1203854 1 1038150 12796719104 0 0 cp f 5
job_1377090872829_0010 13:26:04 13:39:03 779.0 42 12 5368715100 5368709100 2893050 2889746 1 1105050 12930502656 0 2 fs t 1
job_1377090872829_0009 13:26:03 13:38:44 761.0 40 11 5368715100 5368709100 2290373 3202836 1 1092690 13005332480 0 0 fs t 1
job_1377090872829_0008 13:26:03 13:38:41 758.0 40 13 5368715100 5368709100 1945051 3402966 1 1095620 13002182656 0 0 fs t 1
job_1377090872829_0006 13:26:03 13:38:19 736.0 40 12 5368715100 5368709100 1720427 2969179 1 1049240 13012148224 0 0 fs t 1
job_1377090872829_0007 13:26:03 13:38:43 760.0 40 12 5368715100 5368709100 1702147 3398147 1 1076050 13045338112 0 0 fs t 1
job_1377092773977_0009 13:58:26 14:13:47 921.0 40 14 5368715100 5368709100 1966398 4888187 1 1128870 12886126592 0 0 fs t 2
job_1377092773977_0007 13:58:26 14:13:52 926.0 40 13 5368715100 5368709100 2139810 4787272 1 1120470 12904194048 5 0 fs t 2
job_1377092773977_0008 13:58:26 14:13:45 919.0 40 16 5368715100 5368709100 2371709 4423305 1 1116070 12900888576 0 0 fs t 2
job_1377092773977_0010 13:58:26 14:14:17 951.0 40 16 5368715100 5368709100 2046964 5723135 1 1124860 12873228288 0 0 fs t 2
job_1377092773977_0006 13:58:25 14:11:59 814.0 40 11 5368715100 5368709100 1499064 2430037 1 1031530 13076647936 0 0 fs t 2
job_1377088886933_0006 12:53:05 13:04:31 686.0 40 13 5368715100 5368709100 1741919 2974400 1 1045830 13051424768 0 0 fs t 3
job_1377088886933_0008 12:53:06 13:07:22 856.0 40 13 5368715100 5368709100 2204249 4137061 1 1106880 13011746816 0 0 fs t 3
job_1377088886933_0007 12:53:05 13:05:48 763.0 40 13 5368715100 5368709100 1746099 3987377 1 1069310 13048999936 0 0 fs t 3
job_1377088886933_0010 12:53:06 13:07:15 849.0 40 14 5368715100 5368709100 1907646 3527995 1 1072910 12977246208 0 0 fs t 3
job_1377088886933_0009 12:53:06 13:07:06 840.0 40 13 5368715100 5368709100 1468773 4599769 1 1049010 13137506304 0 0 fs t 3
job_1377096881928_0009 15:07:05 15:21:50 885.0 40 13 5368715100 5368709100 1634893 4113405 1 1082280 13024841728 0 0 fs t 4
job_1377096881928_0006 15:07:05 15:21:43 878.0 40 15 5368715100 5368709100 2221335 5085760 1 1100830 12907175936 0 0 fs t 4
job_1377096881928_0007 15:07:05 15:21:52 887.0 40 14 5368715100 5368709100 2127849 4245406 1 1106970 12938678272 0 0 fs t 4
job_1377096881928_0010 15:07:06 15:20:20 794.0 40 13 5368715100 5368709100 1718269 3025406 1 1051360 12922437632 0 0 fs t 4
job_1377096881928_0008 15:07:05 15:21:43 878.0 40 14 5368715100 5368709100 1889009 4614802 1 1082200 13145636864 0 0 fs t 4
job_1377094890882_0008 14:33:42 14:47:17 815.0 40 11 5368715100 5368709100 2418503 3826252 1 1108330 12933849088 0 0 fs t 5
job_1377094890882_0010 14:33:43 14:47:31 828.0 43 13 5368715100 5368709100 3432371 3586798 1 1098760 12977057792 0 3 fs t 5
job_1377094890882_0009 14:33:42 14:46:25 763.0 40 12 5368715100 5368709100 1839303 3339495 1 1061260 12893782016 0 0 fs t 5
job_1377094890882_0006 14:33:42 14:46:49 787.0 41 12 5368715100 5368709100 2470589 3664154 1 1086340 12878749696 0 1 fs t 5
job_1377094890882_0007 14:33:43 14:43:06 563.0 40 13 5368715100 5368709100 1463907 1823439 1 1008180 13107421184 0 0 fs t 5
job_1377103127782_0009 16:50:52 17:04:21 809.0 40 10 5368715100 5368709100 1637861 3213594 1 1075420 12923834368 0 0 fs f 1
job_1377103127782_0010 16:50:52 17:07:01 969.0 40 12 5368715100 5368709100 2561967 3587542 1 1128720 12904222720 0 0 fs f 1
job_1377103127782_0006 16:50:51 17:07:00 969.0 40 10 5368715100 5368709100 3118095 4084242 1 1130320 13004648448 0 0 fs f 1
job_1377103127782_0007 16:50:51 17:07:00 969.0 40 10 5368715100 5368709100 2464743 4822790 1 1119650 12985196544 0 0 fs f 1
job_1377103127782_0008 16:50:52 17:05:00 848.0 40 10 5368715100 5368709100 1453838 3681120 1 1075820 12977074176 0 0 fs f 1
job_1377107176938_0009 17:58:09 18:12:54 885.0 40 10 5368715100 5368709100 2745278 3830216 1 1105650 12882059264 0 0 fs f 2
job_1377107176938_0006 17:58:08 18:12:21 853.0 40 10 5368715100 5368709100 1909745 3171388 1 1084930 12936998912 0 0 fs f 2
job_1377107176938_0010 17:58:09 18:13:01 892.0 40 10 5368715100 5368709100 2613444 3772131 1 1114330 12912869376 0 0 fs f 2
job_1377107176938_0008 17:58:09 18:12:58 889.0 40 10 5368715100 5368709100 1782813 3503577 1 1081290 12983271424 0 0 fs f 2
job_1377107176938_0007 17:58:09 18:11:06 777.0 40 10 5368715100 5368709100 1549595 2819437 1 1012960 12969508864 0 0 fs f 2
job_1377101231441_0008 16:19:07 16:31:35 748.0 40 10 5368715100 5368709100 2161796 3040840 1 1122560 12997603328 0 0 fs f 3
job_1377101231441_0010 16:19:07 16:31:37 750.0 40 10 5368715100 5368709100 2883618 2730203 1 1147370 12973527040 0 0 fs f 3
job_1377101231441_0006 16:19:07 16:31:34 747.0 40 10 5368715100 5368709100 1956000 3290522 1 1130480 12914421760 0 0 fs f 3
job_1377101231441_0007 16:19:07 16:31:35 748.0 40 10 5368715100 5368709100 1814714 3592146 1 1112590 12906582016 0 0 fs f 3
job_1377101231441_0009 16:19:07 16:30:39 692.0 40 10 5368715100 5368709100 1394882 2360795 1 1091570 13057269760 0 0 fs f 3
job_1377105252009_0009 17:25:43 17:38:23 760.0 40 10 5368715100 5368709100 2027385 2993766 1 1083020 12943667200 0 0 fs f 4
job_1377105252009_0006 17:25:42 17:38:26 764.0 40 10 5368715100 5368709100 1618301 2962333 1 1067990 12971778048 0 0 fs f 4
job_1377105252009_0010 17:25:43 17:39:06 803.0 40 12 5368715100 5368709100 2885781 3554585 1 1124070 12984057856 0 0 fs f 4
job_1377105252009_0007 17:25:43 17:38:35 772.0 40 10 5368715100 5368709100 2138999 3196075 1 1085390 12962500608 0 0 fs f 4
job_1377105252009_0008 17:25:43 17:39:02 799.0 40 12 5368715100 5368709100 1943843 3422339 1 1085810 12952174592 0 0 fs f 4
job_1377099023972_0009 15:46:14 15:59:57 823.0 40 10 5368715100 5368709100 2212586 3644916 1 1120990 12972834816 0 0 fs f 5
job_1377099023972_0006 15:46:14 16:00:00 826.0 40 10 5368715100 5368709100 1602859 2770546 1 1055480 12967780352 0 0 fs f 5
job_1377099023972_0007 15:46:14 15:57:53 699.0 40 10 5368715100 5368709100 2076851 3145064 1 1104450 12996165632 0 0 fs f 5
job_1377099023972_0010 15:46:14 16:00:00 826.0 40 10 5368715100 5368709100 2584882 3109775 1 1137150 12857856000 0 0 fs f 5
job_1377099023972_0008 15:46:14 15:59:28 794.0 40 10 5368715100 5368709100 2044387 3595367 1 1126970 12939517952 0 0 fs f 5
